line_id,type,name,destination,frequency_peak,frequency_offpeak,operation_days,schedule,accessible
12811,TRONCAL,H54,Portal Usme V2,5 min,5 min,Lunes - Domingo,Desde: 05:30:00 Hasta: 23:00:00,SÍ
12813,TRONCAL,H15,Portal Tunal,---,---,Lunes - Domingo,---,SÍ
12814,TRONCAL,B13,P. Norte,4 min,3 min,Lunes - Sábado,Desde: 05:30:00 Hasta: 21:30:00,SÍ
12815,TRONCAL,F28,P. Américas,2 min,3 min,Lunes - Sábado,Desde: 05:00:00 Hasta: 20:00:00,SÍ
12818,TRONCAL,J24,Universidades,4 min,4 min,Lunes - Domingo,Desde: 05:30:00 Hasta: 20:30:00,SÍ
12819,TRONCAL,B23,Alcalá,8 min,6 min,Lunes - Sábado,Desde: 05:30:00 Hasta: 22:00:00,SÍ
12820,TRONCAL,K23,P. ElDorado,8 min,6 min,Lunes - Sábado,Desde: 05:30:00 Hasta: 22:00:00,SÍ
12825,TRONCAL,M83,Museo Nacional,4 min,4 min,Lunes - Domingo,Desde: 04:30:00 Hasta: 22:30:00,SÍ
12826,TRONCAL,H83,Portal Usme,4 min,4 min,Lunes - Domingo,Desde: 05:00:00 Hasta: 22:30:00,SÍ
12841,TRONCAL,5,P. Américas,3 min,3 min,Lunes - Domingo,Desde: 04:30:00 Hasta: 23:55:00,SÍ
12842,TRONCAL,B75,P. Norte,4 min,4 min,Lunes - Domingo,Desde: 04:00:00 Hasta: 23:00:00,SÍ
12871,TRONCAL,D22,Portal 80,4 min,4 min,Lunes - Domingo,Desde: 04:30:00 Hasta: 23:00:00,SÍ
12872,TRONCAL,G22,Portal Sur,4 min,4 min,Lunes - Domingo,Desde: 05:00:00 Hasta: 23:00:00,SÍ
12873,TRONCAL,G12,P. Sur,3 min,3 min,Lunes - Domingo,Desde: 04:30:00 Hasta: 23:00:00,SÍ
12874,TRONCAL,B12,P Norte,3 min,3 min,Lunes - Domingo,Desde: 04:00:00 Hasta: 23:00:00,SÍ
12877,TRONCAL,K54,Portal ElDorado ART,5 min,5 min,Lunes - Domingo,Desde: 23:50:00 Hasta: 23:50:00,SÍ
12879,TRONCAL,B72,Toberín,3 min,3 min,Lunes - Domingo,Desde: 04:30:00 Hasta: 23:00:00,SÍ
12881,TRONCAL,H72,P. Usme,3 min,3 min,Lunes - Domingo,Desde: 05:30:00 Hasta: 23:00:00,SÍ
12933,TRONCAL,B74,P. Norte_V2,5 min,5 min,Lunes - Sábado,Desde: 07:00:00 Hasta: 20:30:00,SÍ
13007,TRONCAL,B11,Terminal,4 min,4 min,Lunes - Sábado,Desde: 06:00:00 Hasta: 21:30:00,SÍ
13008,TRONCAL,G11,P. Sur,4 min,4 min,Lunes - Sábado,Desde: 06:30:00 Hasta: 22:00:00,SÍ
13009,TRONCAL,8,Guatoque,3 min,4 min,Lunes - Domingo,Desde: 04:30:00 Hasta: 23:00:00,SÍ
13010,TRONCAL,8,Terminal,3 min,4 min,Lunes - Domingo,Desde: 04:30:00 Hasta: 23:35:00,SÍ
13011,TRONCAL,B16,Terminal,5 min,5 min,Lunes - Sábado,Desde: 05:30:00 Hasta: 22:00:00,SÍ
13012,TRONCAL,K16,P.ElDorado,5 min,5 min,Lunes - Sábado,Desde: 05:30:00 Hasta: 22:00:00,SÍ
13017,TRONCAL,B18,Terminal,4 min,5 min,Lunes - Domingo,Desde: 04:30:00 Hasta: 23:00:00,SÍ
13018,TRONCAL,L18,P. 20 de Julio,4 min,5 min,Lunes - Domingo,Desde: 05:30:00 Hasta: 23:00:00,SÍ
13037,TRONCAL,B46,Portal Norte,4 min,4 min,Lunes - Sábado,Desde: 04:00:00 Hasta: 20:00:00,SÍ
13046,TRONCAL,G46,San Mateo,4 min,4 min,Lunes - Sábado,Desde: 05:00:00 Hasta: 20:00:00,SÍ
